"","state","account_length","area_code","international_plan","voice_mail_plan","number_vmail_messages","total_day_minutes","total_day_calls","total_day_charge","total_eve_minutes","total_eve_calls","total_eve_charge","total_night_minutes","total_night_calls","total_night_charge","total_intl_minutes","total_intl_calls","total_intl_charge","number_customer_service_calls"
"1","NJ",137,"area_code_415","no","no",0,243.4,114,41.38,121.2,110,10.3,162.6,104,7.32,12.2,5,3.29,0
"2","OK",75,"area_code_415","yes","no",0,166.7,113,28.34,148.3,122,12.61,186.9,121,8.41,10.1,3,2.73,3
"3","MO",147,"area_code_415","yes","no",0,157,79,26.69,103.1,94,8.76,211.8,96,9.53,7.1,6,1.92,0
"4","LA",117,"area_code_408","no","no",0,184.5,97,31.37,351.6,80,29.89,215.8,90,9.71,8.7,4,2.35,1
"5","IN",65,"area_code_415","no","no",0,129.1,137,21.95,228.5,83,19.42,208.8,111,9.4,12.7,6,3.43,4
"6","IA",168,"area_code_408","no","no",0,128.8,96,21.9,104.9,71,8.92,141.1,128,6.35,11.2,2,3.02,1
"7","IA",62,"area_code_415","no","no",0,120.7,70,20.52,307.2,76,26.11,203,99,9.14,13.1,6,3.54,4
"8","NY",161,"area_code_415","no","no",0,332.9,67,56.59,317.8,97,27.01,160.6,128,7.23,5.4,9,1.46,4
"9","VT",93,"area_code_510","no","no",0,190.7,114,32.42,218.2,111,18.55,129.6,121,5.83,8.1,3,2.19,3
"10","VA",76,"area_code_510","no","yes",33,189.7,66,32.25,212.8,65,18.09,165.7,108,7.46,10,5,2.7,1
"11","CO",77,"area_code_408","no","no",0,62.4,89,10.61,169.9,121,14.44,209.6,64,9.43,5.7,6,1.54,5
"12","AZ",130,"area_code_415","no","no",0,183,112,31.11,72.9,99,6.2,181.8,78,8.18,9.5,19,2.57,0
"13","NE",174,"area_code_415","no","no",0,124.3,76,21.13,277.1,112,23.55,250.7,115,11.28,15.5,5,4.19,3
"14","MT",54,"area_code_408","no","no",0,134.3,73,22.83,155.5,100,13.22,102.1,68,4.59,14.7,4,3.97,3
"15","IL",142,"area_code_415","no","no",0,84.8,95,14.42,136.7,63,11.62,250.5,148,11.27,14.2,6,3.83,2
"16","AK",36,"area_code_408","no","yes",30,146.3,128,24.87,162.5,80,13.81,129.3,109,5.82,14.5,6,3.92,0
"17","NJ",149,"area_code_408","no","no",0,140.4,94,23.87,271.8,92,23.1,188.3,108,8.47,11.1,9,3,1
"18","AR",34,"area_code_510","no","no",0,124.8,82,21.22,282.2,98,23.99,311.5,78,14.02,10,4,2.7,2
"19","WI",64,"area_code_510","no","no",0,154,67,26.18,225.8,118,19.19,265.3,86,11.94,3.5,3,0.95,1
"20","IN",60,"area_code_408","no","no",0,220.6,57,37.5,211.1,115,17.94,249,129,11.21,6.8,3,1.84,1
"21","IN",81,"area_code_408","no","no",0,175.5,67,29.84,249.3,85,21.19,270.2,98,12.16,10.2,3,2.75,1
"22","CO",141,"area_code_415","no","no",0,126.9,98,21.57,180,62,15.3,140.8,128,6.34,8,2,2.16,1
"23","WI",68,"area_code_415","no","no",0,148.8,70,25.3,246.5,164,20.95,129.8,103,5.84,12.1,3,3.27,3
"24","NC",38,"area_code_408","no","no",0,131.2,98,22.3,162.9,97,13.85,159,106,7.15,8.2,6,2.21,2
"25","WA",40,"area_code_415","no","yes",41,148.1,74,25.18,169.5,88,14.41,214.1,102,9.63,6.2,5,1.67,2
"26","MN",113,"area_code_408","yes","no",0,125.2,93,21.28,206.4,119,17.54,129.3,139,5.82,8.3,8,2.24,0
"27","MN",162,"area_code_510","no","yes",46,224.9,97,38.23,188.2,84,16,254.6,61,11.46,12.1,2,3.27,0
"28","HI",85,"area_code_415","no","no",0,235.8,109,40.09,157.2,94,13.36,188.2,99,8.47,12,3,3.24,0
"29","MN",50,"area_code_415","no","no",0,157.1,90,26.71,223.3,72,18.98,181.4,111,8.16,6.1,2,1.65,1
"30","MD",70,"area_code_408","no","no",0,170.2,98,28.93,155.2,102,13.19,228.6,76,10.29,15,2,4.05,1
"31","KY",74,"area_code_415","no","yes",35,154.1,104,26.2,123.4,84,10.49,202.1,57,9.09,10.9,9,2.94,2
"32","NJ",128,"area_code_415","no","no",0,237.9,125,40.44,247.6,93,21.05,208.9,68,9.4,13.9,4,3.75,1
"33","LA",155,"area_code_415","no","no",0,203.4,100,34.58,190.9,104,16.23,196,119,8.82,8.9,4,2.4,0
"34","AK",104,"area_code_408","no","no",0,278.4,106,47.33,81,113,6.89,163.2,137,7.34,9.8,5,2.65,1
"35","MT",73,"area_code_415","no","no",0,160.1,110,27.22,213.3,72,18.13,174.1,72,7.83,13,4,3.51,0
"36","MS",120,"area_code_408","no","no",0,212.1,131,36.06,209.4,104,17.8,167.2,96,7.52,5.3,5,1.43,1
