"","state","account_length","area_code","international_plan","voice_mail_plan","number_vmail_messages","total_day_calls","total_day_charge","total_eve_minutes","total_eve_calls","total_night_calls","total_night_charge","total_intl_minutes","total_intl_calls","number_customer_service_calls","churn","vmail_flag","number"
"1","HI",33,"area_code_415","no","no",0,117,34.09,159.9,111,84,8.83,16.3,6,3,"no","no",1.79175946922805
"2","TN",80,"area_code_415","yes","no",0,122,47.01,195.6,79,78,9.46,7.2,3,1,"yes","no",1.09861228866811
"3","CT",37,"area_code_408","no","no",0,98,22.93,248.4,130,113,10.63,14.7,2,3,"no","no",0.693147180559945
"4","TN",106,"area_code_415","no","no",0,142,20.26,228.4,139,61,8.91,8.4,9,2,"no","no",2.19722457733622
"5","TX",123,"area_code_408","no","no",0,85,44.35,168.5,103,91,8.02,13.3,5,3,"no","no",1.6094379124341
"6","CT",152,"area_code_408","no","yes",20,105,40.65,209.1,111,130,12.07,13.3,3,5,"no","yes",1.09861228866811
"7","NY",87,"area_code_415","no","no",0,101,34.82,161,80,89,12.86,9.5,3,0,"no","no",1.09861228866811
"8","UT",110,"area_code_415","no","no",0,108,46.09,237,122,122,10.8,9.8,5,2,"yes","no",1.6094379124341
"9","IL",66,"area_code_415","no","yes",21,110,22.85,136.2,104,105,9.7,9.7,4,3,"no","yes",1.38629436111989
"10","MI",119,"area_code_510","yes","yes",22,119,29.26,223.6,133,94,6.75,13.9,20,1,"yes","yes",2.99573227355399
"11","AL",55,"area_code_415","no","yes",28,134,37.83,177.8,106,90,8.76,9.7,4,2,"no","yes",1.38629436111989
"12","MO",128,"area_code_510","no","no",0,109,37.57,219,107,113,10.32,8.6,5,3,"no","no",1.6094379124341
"13","VA",104,"area_code_415","no","yes",23,136,47.63,220.5,92,102,6.16,13.3,3,4,"no","yes",1.09861228866811
"14","MS",116,"area_code_415","no","no",0,91,36.94,216.1,95,76,6.66,11.3,3,2,"no","no",1.09861228866811
"15","KS",128,"area_code_415","no","no",0,122,17.56,245.9,123,95,7.25,6.4,7,0,"no","no",1.94591014905531
"16","WV",36,"area_code_408","no","no",0,144,29.77,216.9,69,146,10.97,9.9,3,1,"no","no",1.09861228866811
"17","UT",85,"area_code_510","no","no",0,107,36.09,228.4,103,116,7.35,7.7,3,0,"no","no",1.09861228866811
"18","TX",72,"area_code_415","yes","no",0,101,48.64,306.1,94,89,10.48,10.3,1,4,"yes","no",0
"19","WV",35,"area_code_408","no","no",0,82,30.57,176.1,78,85,5.97,12,5,1,"no","no",1.6094379124341
"20","WY",46,"area_code_510","yes","yes",27,73,29.05,184.7,77,94,5.89,6.1,7,2,"no","yes",1.94591014905531
"21","TX",82,"area_code_415","no","no",0,81,32.16,184.4,117,83,11.51,10.6,5,3,"yes","no",1.6094379124341
"22","CO",132,"area_code_415","no","no",0,66,33.63,133.9,119,94,7.98,10.9,3,4,"yes","no",1.09861228866811
"23","WI",105,"area_code_408","no","no",0,103,25.11,222.7,78,102,7.36,12.8,3,2,"no","no",1.09861228866811
"24","NJ",107,"area_code_408","no","yes",36,83,16.37,179.6,91,121,7.48,10.3,2,1,"no","yes",0.693147180559945
"25","CO",49,"area_code_415","no","no",0,142,29.24,224,100,86,7.98,7.4,1,0,"no","no",0
"26","NH",105,"area_code_415","no","yes",20,114,31.77,256.3,91,104,15.06,8.9,2,1,"no","yes",0.693147180559945
"27","NY",9,"area_code_415","no","yes",16,87,15.05,178.8,108,96,10.29,11.5,3,2,"no","yes",1.09861228866811
